data
	^DJI	AAPL	AXP	BA	CAT	CSCO	CVX	DD	DIS	GE	GS	HD	IBM	INTC	JNJ	JPM	KO	MCD	MMM	MRK	MSFT	NKE	PFE	PG	TRV	UNH	UTX	V	VZ	WMT	XOM	
20141029	16974.31	105.54	87.13	120.07	96.58	23.38	112.38	61.77	87.9	24.76	183.7	94.48	158.69	32.95	102.61	57.73	39.67	89.55	147.31	54.44	45.4	90.94	28.52	83.8	97.18	91.52	103.46	53.28	47.51	74.53	91.59	
20141030	17195.42	105.18	87.52	120.8	96.55	23.36	112.44	62.57	88.57	24.76	184.58	95.56	159.55	31.64	104.05	57.82	40.1	90.18	148.38	55.52	44.85	91.98	28.86	84.19	97.75	92.42	103.94	58.74	47.58	74.59	91.45	
20141031	17390.52	106.18	88.72	121.86	97.75	23.74	115.08	63.95	89.71	24.9	187.56	95.56	159.6	33.03	104.77	58.88	40.56	90.52	150	56.13	45.73	91.95	28.97	84.5	98.53	93.54	104.59	59.93	47.91	74.41	93.64	
20141103	17366.24	107.56	89.61	122.95	96.61	23.85	112.04	63.7	90.04	24.79	188.39	94.16	159.56	33.32	104.46	59.27	40.49	90.4	149.55	57.08	46.2	92.43	29.2	84.61	97.7	93.39	103.9	59.96	48.05	74.42	92.24	
20141104	17383.84	106.77	90.13	122.77	95.05	24.14	110.69	63.36	88.7	24.79	187.84	94.03	157.9	33.55	105.58	58.66	40.5	91.23	151.25	57.52	46.33	92.92	29.28	85.83	98.85	93.51	104.47	60.31	47.99	75.38	91.52	
20141105	17484.53	107.03	91.15	121.89	95.83	24.4	112.3	64.56	89.34	24.91	187.41	93.86	157.1	33	105.78	59.54	40.98	91.4	151.88	57.71	46.61	93.64	29.3	86.18	99.2	94.31	105.5	61.94	48	75.81	92.05	
20141106	17554.47	107.34	90.33	122.25	97.27	24.51	113.72	64.84	90.32	25.43	188.56	95.34	157.82	33.06	105.96	59.61	40.96	91.42	152.23	57.41	47.43	93.56	29.3	86.08	99.61	94.72	106.13	62.08	47.94	75.91	93.21	
20141107	17573.93	107.64	91	122.12	98.09	24.58	113.98	65.11	88.36	25.48	188.27	95.69	158.42	32.83	105.18	59.85	40.99	91.84	152.72	57.49	47.41	92.75	29.19	86.31	100.06	92.16	106.62	62.66	48.5	76.85	94.2	
20141110	17613.74	107.46	91.13	122.3	98.52	24.4	113.13	65.41	88.14	25.54	189.35	96.19	159.81	32.52	105.78	60.3	41.06	91.85	153.8	56.97	47.61	93.92	29.46	86.62	100.67	93.28	106.54	62.11	48.36	77.51	93.9	
20141111	17614.9	108.32	90.48	123.01	98.83	24.4	113.63	65.48	88.34	25.45	189.42	96.17	159.62	32.56	105.87	59.75	41.17	91.88	153.26	57.52	47.6	93.84	29.58	86.83	100.62	94.2	105.82	61.99	48.26	77.09	94.03	
